Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Bahamas, The",11.49987718,12.04514197,13.03402858,13.03891956,13.3824186,11.311783,13.33917974,13.14815269,12.45343141,13.24580139,12.5594987,11.21656449,8.497761944,8.791017191,
Bosnia and Herzegovina,22.45400963,22.19325971,21.62320082,22.3236757,22.15636982,21.72645605,22.34435004,23.12107386,23.71135919,23.20379231,23.77756094,24.79938161,24.66324979,23.75497207,
Belarus,35.39302312,36.08878908,36.28285989,35.90385104,35.37894489,32.69269269,30.95872521,31.55426107,31.26553303,31.73707805,31.3516474,32.14457341,33.02909555,32.53975122,
Belize,18.0615226,18.67217646,15.76935163,15.7053253,15.84005612,14.54367205,15.46067315,14.09345629,13.66401395,14.05183603,16.33012703,17.02505629,15.43014719,14.26708186,
Bermuda,6.597532363,5.667424558,5.118742188,5.299009118,5.004639859,5.124380479,5.349793642,5.509305385,5.701235971,6.370650363,5.634176242,5.300601501,5.357474087,,
Bolivia,30.14394175,30.36910664,29.33421963,28.5181929,27.62549988,25.20241626,25.32635896,26.36997442,26.24658947,25.21027455,23.49193201,26.36230039,26.20175888,24.22813657,
Brazil,23.26797735,23.10205097,22.13364736,21.22480995,20.47246275,19.36004398,18.35475828,18.18850231,18.74905145,18.75462757,19.50611839,22.12347519,22.81945685,22.26318204,
Barbados,14.51182229,15.11480661,14.69673508,14.64033701,14.35159698,14.42717792,13.89043854,13.83679704,13.53228402,13.23890933,13.49905771,13.94657047,13.9791701,13.24682253,
Brunei Darussalam,68.65335068,73.67241439,72.6556143,70.02244393,67.84963064,61.36277769,57.28936408,59.72058921,63.24481837,62.5153214,59.13363013,62.70156408,67.92558548,61.80076976,
Bhutan,39.32493053,37.41788261,38.21269124,38.8444854,37.64495505,38.46809463,38.44899644,39.03887936,35.26521345,33.09390304,31.79097654,31.62327241,31.82484473,,
Botswana,37.27893796,41.43221525,37.5753343,39.10622989,41.7777034,37.54399949,40.34516219,37.10100502,34.80032767,31.94710542,26.69049763,33.0386864,37.45563996,34.32351244,
Central African Republic,24.50992414,26.63835543,27.52307537,24.1910676,19.48260861,22.12525135,21.63823744,20.73722455,20.55575596,20.51197122,20.44818877,21.58732,21.1573,20.70681732,
Canada,26.35113316,27.1393406,26.6346688,26.61323518,27.13794246,24.41568255,23.29530055,24.02780289,24.62230596,24.07740788,22.45161732,,,,
Central Europe and the Baltics,29.80824597,30.57188334,29.62213641,28.42168063,29.30310328,29.51871955,29.00982108,28.01380775,27.7962552,27.50752928,27.03971587,26.67216352,27.38452621,28.0366123,
Switzerland,24.69452587,25.03152647,24.60389113,24.70221273,24.32391507,24.20112582,24.08997921,24.21769432,24.42395718,24.72115913,24.82791568,25.57885649,24.87466743,24.92771976,
Channel Islands,,,,,,,7.675771826,8.019381416,7.923675346,7.93089453,7.654094447,8.864399238,8.383067917,8.220517331,
Chile,33.46690302,32.44175424,30.55830033,29.43043731,28.90286706,27.88064041,26.77956505,27.38115607,27.86152277,27.11844224,29.8295676,30.88386558,31.25733429,29.66516641,
China,46.49783114,46.52928947,45.42298074,44.17670454,43.08556811,40.84133997,39.5806215,39.85169845,39.68701182,38.58740546,37.84282172,39.290772,39.32766985,38.28299079,
Cote d'Ivoire,15.97657938,16.76240073,17.73245519,18.97952957,19.84554862,20.12155783,20.82071381,19.80856265,19.11168189,21.64204005,20.7022034,22.10303507,23.62651846,23.88720816,
Cameroon,25.84451173,25.77675973,26.62487218,26.74194593,25.70780278,25.09148801,24.18214457,24.26219529,24.68223121,23.82687805,23.03806544,24.49255424,27.13035934,25.53343102,
"Congo, Dem. Rep.",38.68914996,40.94273752,40.25475638,41.28634597,42.97984786,41.7048639,41.16138163,55.8844017,65.87642951,39.65191584,41.13376671,45.34203535,47.77963317,46.50797491,
"Congo, Rep.",66.17916978,65.8738952,65.31021912,61.98930813,58.00141554,48.67895619,38.44745141,45.96718951,54.39199184,50.12867157,33.9517598,42.89370294,49.24555236,45.22363396,
Colombia,31.3713561,33.30215517,33.40550062,32.74755529,30.98585272,28.58944789,27.68916231,26.81485891,26.89546675,25.99342684,23.4392386,24.55656974,26.1475271,24.55436012,
Comoros,11.77544243,11.6973086,11.22256957,11.64828999,11.61092478,10.40840816,9.85451807,9.137350096,8.876795865,8.531000615,8.089453236,9.267578777,9.080239623,8.974341057,
Cabo Verde,14.94145775,14.56997848,14.00680796,14.57827873,15.45569567,14.61589099,12.66684933,12.51880384,14.62868997,13.28519743,14.68663272,12.519147,11.07892384,10.56632369,
Costa Rica,23.32296521,22.58987067,22.20487739,21.34497248,20.61640542,19.96787847,19.65001128,19.31453971,19.55814326,19.23365693,20.36785113,20.60579236,20.64643811,20.45925384,
Caribbean small states,17.93480707,18.37069704,18.61946917,18.18077688,17.72641765,16.55555127,17.35854517,18.11436572,17.85661298,18.10208392,20.36800324,23.52903031,31.19458167,28.60789151,
Cuba,22.89360776,22.2582983,23.36719487,23.1503085,22.15207529,22.35380936,22.94280122,24.35662514,24.87790646,24.54953997,23.01787208,23.34743595,23.77004188,,
Curacao,15.01972892,13.63866203,13.78632467,15.33896246,16.3585495,16.50359758,17.15376234,15.40989747,14.41275043,13.27463829,11.98469384,11.43671171,11.18905861,11.68772482,
Cayman Islands,7.065307699,6.813325371,6.857946093,6.923950601,6.896180449,7.006038297,7.28391279,7.193818235,7.414390774,7.707953575,8.134914863,8.374495859,8.1905945,,
Cyprus,14.47911521,12.74536429,11.75798543,10.74927831,9.972876769,10.19094632,10.83651488,11.3472324,12.02242703,12.78901189,12.8234845,11.48036009,10.31577978,10.49417088,
Czechia,32.78253746,33.31530478,32.61187757,32.37506449,33.52560569,33.51506176,33.02612208,32.23450692,31.24494021,30.81729276,29.67284901,28.5164056,29.21857305,30.42233588,
Germany,26.06312546,26.31240879,26.57610753,25.90779415,26.01463233,25.91528527,26.2157748,26.11757042,25.9385392,25.63105395,25.37746187,25.30665368,25.68688746,26.843115,
Djibouti,,,,11.39562816,11.64420336,11.39514948,11.33870712,12.40612445,13.99160539,14.61028949,15.03826399,16.28710536,15.33349204,15.30243453,
Dominica,11.70752927,12.83810256,12.75425053,12.31975621,12.49039255,12.53364749,11.99174712,11.0723695,16.15015889,15.08039851,12.22950242,12.17232961,11.99819438,12.19687617,
Denmark,19.36793546,19.84592379,19.85064215,19.73435986,19.40444793,19.56444285,20.23196293,20.42362523,20.57556363,20.64022005,19.55505441,19.79677157,20.83551839,23.48856529,
Dominican Republic,27.92339361,28.39554288,28.42025851,29.24893357,29.76905868,28.49636818,27.57808736,28.068774,28.81128478,29.07733665,30.28247171,32.66212093,33.06966487,31.13868857,
Algeria,45.24319464,44.9869856,43.19505491,39.74385437,38.56141383,32.75650093,32.20516405,33.47669495,35.34325861,33.57432118,30.02358038,36.32148125,43.04805748,37.75704953,
