Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Kyrgyz Republic,4794361863,6197765984,6605142884,7335033801,7468102413,6678177512,6813095379,7702938379,8271106235,9371275264,8270468614,9249133946,12134931018,13987627909
Cambodia,13808673288,16032622024,17826536700,19807135253,22041463968,24174170369,26556545153,29355665910,33145892169,36685356408,34818073901,36790163687,39994532960,42335646896
Kiribati,165458478.2,195970104.4,207001557.8,201730847.8,200287275.6,191559398.2,206467834,222875724.7,233514703.7,216985362.3,223123620.6,289339292.2,270841698.4,279208903.3
St. Kitts and Nevis,778718518.5,836092592.6,824585185.2,874548148.1,952111111.1,957222222.2,1006818519,1056977778,1076548148,1107855556,883922222.2,858622222.2,981429629.6,1055499778
"Korea, Rep.",1.14367E+12,1.25329E+12,1.27805E+12,1.37063E+12,1.48449E+12,1.46604E+12,1.49968E+12,1.62307E+12,1.72537E+12,1.65142E+12,1.64431E+12,1.81843E+12,1.67392E+12,1.71279E+12
Kuwait,1.15416E+11,1.54039E+11,1.74048E+11,1.74168E+11,1.6265E+11,1.14586E+11,1.09407E+11,1.20688E+11,1.38646E+11,1.40856E+11,1.11045E+11,1.48459E+11,1.8394E+11,1.63705E+11
Latin America & Caribbean (excluding high income),4.55644E+12,5.32045E+12,5.29787E+12,5.43664E+12,5.4573E+12,4.63456E+12,4.49698E+12,5.01288E+12,4.8704E+12,4.80345E+12,4.04706E+12,4.69345E+12,5.39306E+12,6.05747E+12
Lao PDR,7131771015,8750104617,10192846339,11983252627,13279245886,14426380126,15912501723,17071155481,18141641090,18740561513,18981805250,18827148531,15468785204,15843155731
Lebanon,38443907042,39927125962,44016799516,46880103081,48095213747,49929337837,51147308774,53027680686,54901519156,51605959131,31712128254,23131941557,20992421949,
Liberia,1998000000,2398000000,2791614000,3177198100,3225652000,3227075700,3398419600,3390703400,3422754800,3319596500,3176126300,3513049500,4001047000,4240000000
Libya,75380825062,48169263294,92540938129,75351107029,57372355592,48717501321,49912073701,67157452182,76686029772,69254496472,46854285441,35217995647,43246297922,45096462972
St. Lucia,1482385185,1568370370,1598207407,1660222222,1749185185,1807629630,1868555556,1998518519,2060962963,2095370370,1499296296,1867185185,2342703704,2430148148
Latin America & Caribbean,5.39742E+12,6.13899E+12,6.21085E+12,6.36436E+12,6.48537E+12,5.42063E+12,5.28577E+12,5.86926E+12,5.74319E+12,5.65931E+12,4.80551E+12,5.58105E+12,6.34487E+12,7.10014E+12
Least developed countries: UN classification,6.91265E+11,7.88563E+11,8.2527E+11,8.98745E+11,9.66685E+11,9.28291E+11,9.44199E+11,1.03337E+12,1.1005E+12,1.16145E+12,1.17227E+12,1.27971E+12,1.43585E+12,1.51631E+12
Low income,3.7446E+11,4.06243E+11,3.84272E+11,3.96288E+11,4.24195E+11,4.17757E+11,3.85207E+11,4.03454E+11,4.20211E+11,4.47115E+11,4.42702E+11,4.74823E+11,5.472E+11,6.63529E+11
Liechtenstein,5082337238,5739706005,5456102482,6391708311,6657526980,6268515276,6237302034,6474308718,6692620692,6436467007,6405870210,7710380086,7361504432,
Sri Lanka,58636161082,67753284044,70447216891,77000578167,82528535714,85140955389,88012282206,94376237797,94493871201,89014978344,84304298771,88609324902,74144870023,84356863744
Lower middle income,3.78264E+12,4.22108E+12,4.46033E+12,4.71734E+12,5.09559E+12,5.08967E+12,5.30401E+12,5.74138E+12,5.99412E+12,6.29871E+12,6.10231E+12,6.91186E+12,7.3714E+12,7.43951E+12
Low & middle income,1.87856E+13,2.21254E+13,2.35202E+13,2.49564E+13,2.6113E+13,2.53367E+13,2.55971E+13,2.79874E+13,2.97916E+13,3.04954E+13,2.95214E+13,3.47781E+13,3.64652E+13,3.75338E+13
Lesotho,2234754242,2579409620,2477702216,2367112932,2441063054,2359686725,2114426452,2306741672,2556247292,2390702296,2053699870,2412130057,2354683089,2117962451
Late-demographic dividend,1.3568E+13,1.6537E+13,1.76868E+13,1.90515E+13,1.97881E+13,1.85653E+13,1.86055E+13,2.06477E+13,2.26413E+13,2.30702E+13,2.25532E+13,2.69104E+13,2.80794E+13,2.83485E+13
Lithuania,36638128534,43186501863,42709372067,46303660422,48306546657,41540954817,42970749245,47756764508,54261795149,55122066226,57412038533,67037321009,71033884500,79789877416
Luxembourg,56213985987,61696281326,59776383527,65203276467,68804811898,60071584216,62216885436,65712180343,71000359760,69890505324,73699366700,85584105994,81641807866,85755006124
Latvia,23468324572,26575547901,27116149949,29152128168,30277203767,26344565877,27117105060,29391059767,33247935477,33099503951,33379927435,38185125733,38018905782,42247850065
"Macao SAR, China",28241798492,36845888757,43189721377,51536595089,54902831794,45048190598,45070808689,50383871121,55190661340,55082293844,25343525936,30969334705,24999113476,45803067940
St. Martin (French part),,775875748.5,,,772921958.5,,,,,652206037.1,,649206262.8,,
Morocco,1.00865E+11,1.10081E+11,1.06937E+11,1.15739E+11,1.19131E+11,1.10414E+11,1.11573E+11,1.18541E+11,1.27341E+11,1.2892E+11,1.21354E+11,1.42022E+11,1.30952E+11,1.44417E+11
Monaco,5367561570,6088689808,5742749294,6555591710,7070017324,6264756528,6471290794,6430254653,7184333936,7383496254,6730736283,8623242743,8800430486,9995350547
Moldova,6974982370,8414352020,8709138635,9496717876,9402090138,7797667197,7980917076,9514404016,11252353421,11736797055,11530746234,13691869264,14510490660,16539436547
Madagascar,9982711338,11551819618,11578975062,12423555455,12522957399,11323020701,11848613858,13176313594,13760033282,14104664679,13051441204,14554754117,15134700203,15790113247
Maldives,2588176055,2774350240,2886163997,3295009238,3697353039,4129505319,4409942624,4816426257,5404344163,5726094799,3712604583,5252457370,6177118114,6590894302
Middle East & North Africa,2.82224E+12,3.40156E+12,3.66212E+12,3.61079E+12,3.63093E+12,3.20294E+12,3.2362E+12,3.37598E+12,3.60866E+12,3.59845E+12,3.20794E+12,3.80787E+12,4.47571E+12,4.32057E+12
Mexico,1.10542E+12,1.22901E+12,1.25511E+12,1.32744E+12,1.36451E+12,1.21329E+12,1.11223E+12,1.19072E+12,1.2563E+12,1.30411E+12,1.12106E+12,1.31657E+12,1.46431E+12,1.78911E+12
Marshall Islands,161100000,172300000,180700000,186400000,186000000,183700000,201800000,213700000,220000000,232900000,241800000,258900000,253400000,259300000
Middle income,1.84149E+13,2.17221E+13,2.31371E+13,2.45608E+13,2.56899E+13,2.49203E+13,2.52117E+13,2.7583E+13,2.937E+13,3.00475E+13,2.90784E+13,3.43011E+13,3.59177E+13,3.68781E+13
North Macedonia,9407170321,10494626768,9745261301,10817702346,11362265253,10064519963,10672467073,11307067070,12683068114,12606338449,12361036914,14000283827,13932436550,15763621848
Mali,10689168016,12995112690,12442035339,13242690786,14364937124,13104764378,14026048336,15365713048,17070867590,17280250810,17465392764,19309463508,18780322204,20661794596
Malta,9097044161,9789361704,9609532089,10796782638,11888032872,11340795042,12025782834,14161366724,16153779511,16337793531,16385919536,19718565605,19209979975,22328640242
Myanmar,49540813342,59977326086,59937796648,60269732855,65531374200,59607290408,63298361996,66053040483,67860515990,75065106228,79006113643,66345291160,62253049892,66757619000
Middle East & North Africa (excluding high income),1.41349E+12,1.65767E+12,1.78288E+12,1.65162E+12,1.62789E+12,1.46156E+12,1.4978E+12,1.49923E+12,1.49067E+12,1.48018E+12,1.32887E+12,1.55275E+12,1.74192E+12,1.67117E+12
Montenegro,4142983843,4544428421,4087526242,4465772400,4593853291,4054730078,4376930578,4856599481,5506942238,5542054181,4769996866,5861427505,6229801581,7530593375
Mongolia,7189481999,10409797378,12292770632,12582122604,12226514668,11619892591,11181350649,11480847741,13178094720,14206359018,13312981429,15286441738,17146471714,20325121394
Northern Mariana Islands,799000000,729000000,746000000,772000000,832000000,910000000,1230000000,1560000000,1301000000,1179000000,866000000,914000000,1096000000,
Mozambique,11411894724,14619279989,16688114144,17198073057,17978246586,16208985770,12069051237,13264640646,15017358953,15512759047,14235420174,16168055475,18883528581,20954220984
Mauritania,5628878798,6764627746,6728208836,7223071097,6592537782,6166863897,6398747592,6800135898,7473550557,7894764886,8260752385,9222536364,9557966698,10651709411
Mauritius,10003670690,11518413430,11668696397,12292974141,13074129952,12007291046,12594155464,13713506131,14735695931,14436346980,11408106446,11484348858,12927979286,14644524819
Malawi,10128323011,11648142958,8773203178,8031571928,8801326169,9219474379,7909868618,8943543794,9879231592,11051865580,11769313598,12378129751,12429060151,12712150082
Malaysia,2.55018E+11,2.97952E+11,3.14443E+11,3.23276E+11,3.38066E+11,3.01355E+11,3.01256E+11,3.19109E+11,3.58789E+11,3.65178E+11,3.37456E+11,3.73785E+11,4.07606E+11,3.99705E+11
North America,1.66729E+13,1.73994E+13,1.80887E+13,1.87337E+13,1.94203E+13,1.98582E+13,2.03398E+13,2.12685E+13,2.23891E+13,2.32911E+13,2.30167E+13,2.56959E+13,2.81762E+13,2.98713E+13
Namibia,11431412421,12523359441,13042053592,12043307277,12435430970,11335161084,10722018732,12895153371,13682019076,12541928303,10583748542,12402486184,12567271005,12351025067
